Year,Population,Attempted murder,Causing bodily injuries,Murder,Rape,Robbery (with firearms),Robbery (without firearms)
2000,22945150,0.18740343819935804,22.2443522923145,2.401378940647588,5.273445586540075,0.387881534877741,7.326166967746996
2001,23542517,0.2888391245507012,19.959633033290366,2.5825615842180345,5.751296685906609,0.27609622199699374,7.208235211213823
2002,24142445,0.2650932828054491,18.39084649462803,2.137314592618933,5.873473047158231,0.30237202569996535,7.058108654695082
2003,24739411,0.31124427335800353,17.656038779581294,2.283805382432104,5.945978261163938,0.18189600391052155,7.760896166848919
2004,25333247,0.36315913234493785,16.563214340427816,2.230270758422716,6.781602058354384,0.17368480242583983,6.667127984028262
2005,25923536,0.36260485452293234,16.378938428769903,1.9171767308286956,7.279099579625249,0.15429993809486484,7.105512149268526
2006,26509413,0.0,22.041227393454545,2.2859804553197764,9.257089170552362,0.0,0.0
2007,27092604,0.0,25.121247112311536,2.170334014404817,11.726447557421944,0.0,0.0
2008,27664296,0.0,24.03097479870805,2.364057990125612,12.629997886083924,0.0,0.0
2009,28217204,0.0,29.42176694756858,2.023588162739299,13.261413143555968,0.0,0.0
2010,28717731,0.0,26.76047073496162,1.6958164278368648,11.776696424936915,0.0,0.0
2011,29184133,0.0,20.723589767083368,1.5282276845435154,10.368647922485826,0.0,0.0
2012,29660212,0.0,21.051771308984577,2.0296550813594996,9.993185483637136,0.0,0.0
2013,30134807,0.0,18.91168574598802,2.0806504584549024,9.019470408421729,0.0,0.0
2014,30606459,0.0,18.3229298103384,1.6663149435222155,7.5016845300529535,0.0,0.0
2015,31068833,0.0,17.75412678036539,1.6061111790069489,6.588596359573596,0.0,0.0
2016,31526418,0.0,17.544016576827726,1.4464059951244699,5.982284444747259,0.0,0.0
2017,31975806,0.0,21.875914558651,1.1946532325096044,5.732459097356295,0.0,0.0
2018,32399271,0.0,14.38303966777524,0.996936011307168,5.086534200105922,0.0,0.0
2019,32804020,0.0,14.364093181262541,0.9450061303462197,5.298131143683,0.0,0.0
2020,33199993,0.0,12.403617073051791,0.76204835344393,4.765061245645444,0.0,0.0
2021,33573874,0.0,12.101671674826683,0.7237770654646527,4.625620504800846,0.0,0.0
2022,33938221,0.0,11.217441244194857,0.7071672967183519,5.044460049924243,0.0,0.0
